Entity,Code,Year,River Waters,Riverbed,Shoreline,Nearshore Waters,Offshore Waters,Deep Seafloor
Batteries,,2021,,6.1,,,,
Cans (drink),,2021,,,,,,10.2
Cans (food),,2021,,4,,,,
Clothing,,2021,,,3.9,,,2.2
Cotton buds,,2021,0.7,,,,,
Cups & lids,,2021,1.1,,,4,1.2,
Fishing net,,2021,,,,2.4,4.4,2.3
Fishing related,,2021,,7.7,,1.7,24.4,7.2
Food containers,,2021,35.8,,15.4,,,7
Glass bottles,,2021,,11.1,3.8,,,2.8
Industrial packaging,,2021,8.2,,,,2.8,6.5
Other containers,,2021,2.1,,,,7.1,
Paper bags,,2021,,,4.7,,,
Plastic bags,,2021,22.8,4.4,16.2,22.5,1.6,18.4
Plastic bottles,,2021,6.2,9.7,12.9,11.1,8.7,22.6
Plastic lids,,2021,4.5,13.2,6,4.7,10.6,
Rope & nets (fabric),,2021,,7.1,,,,
Straws & stirrers,,2021,4.8,,6.2,4.1,,
Synthetic rope,,2021,,4.3,5.9,3.7,31.8,6.8
Tobacco packets,,2021,,,3.7,,,
Tyres,,2021,,4.3,,,,
Wood,,2021,,,,2.4,,
Wrappers,,2021,10.1,,,39,1.4,
